base_month,emd_nm,area,em_area_cd_cnt,resid_reg_pop,foreign_pop,d_visit_pop_cnt,l_visit_pop_cnt,s_visit_pop_cnt,pre_mm,base_month_1,base_month_10,base_month_11,base_month_12,base_month_2,base_month_3,base_month_4,base_month_5,base_month_6
7,건입동,2.53,30,8863.09,226.59,6504.78,214.63,1.48,246.1,0,0,0,0,0,0,0,0,0
7,구좌읍,185.93,104,15401,548.3,8437.43,206.88,1.66,235.4,0,0,0,0,0,0,0,0,0
7,남원읍,188.71,51,18714.16,625.33,6904.49,225.5,42.44,280.5,0,0,0,0,0,0,0,0,0
7,노형동,45.21,161,55434.17,2081.23,19582.41,670.4,4.56,246.1,0,0,0,0,0,0,0,0,0
7,대륜동,22.24,36,15094.48,192.24,7743.96,156.5,2.4,294.5,0,0,0,0,0,0,0,0,0
7,대정읍,78.63,84,21982.08,1571,7265.38,533.44,1.61,139.5,0,0,0,0,0,0,0,0,0
7,대천동,56.44,37,13868.32,179.46,5516.24,141.05,3.3,294.5,0,0,0,0,0,0,0,0,0
7,도두동,4.03,25,3320,87.45,3167.41,75,0.08,246.1,0,0,0,0,0,0,0,0,0
7,동홍동,14.3,49,23217.49,882.77,6909.2,141.31,2.63,217.4,0,0,0,0,0,0,0,0,0
7,봉개동,47.34,32,5240.93,81,4252.68,114.08,4.71,246.1,0,0,0,0,0,0,0,0,0
7,삼도1동,1.27,32,13491.24,138,5611.24,72.74,0.19,246.1,0,0,0,0,0,0,0,0,0
7,삼도2동,0.83,30,7920.73,250.59,5332.53,110.98,1.1,246.1,0,0,0,0,0,0,0,0,0
7,삼양동,9.53,73,25799.28,224,4742.98,51.96,0.39,246.1,0,0,0,0,0,0,0,0,0
7,서홍동,14.71,22,10973.09,126.93,3371.93,142.36,3.49,217.4,0,0,0,0,0,0,0,0,0
7,성산읍,91.09,58,15493.08,1459.76,8807.89,289.74,2.46,217.4,0,0,0,0,0,0,0,0,0
7,송산동,4.8,20,4033.98,466.34,1598.04,122.15,0.73,217.4,0,0,0,0,0,0,0,0,0
7,아라동,70.64,115,38535.7,1037,13198.09,251.75,5.71,244.5,0,0,0,0,0,0,0,0,0
7,안덕면,105.6,67,12233.83,503.01,10251.19,412.49,3.31,165.5,0,0,0,0,0,0,0,0,0
7,애월읍,202.16,149,37408.1,961,21892.33,926.22,38.04,204.5,0,0,0,0,0,0,0,0,0
7,영천동,46.33,35,5139.61,152.65,3596.53,172.31,4.63,217.4,0,0,0,0,0,0,0,0,0
7,예래동,37.3,17,3918.56,231.02,6959.99,162.64,1.64,164.5,0,0,0,0,0,0,0,0,0
7,오라동,28.74,81,15741.75,214.08,10851.95,162.89,0.84,246.1,0,0,0,0,0,0,0,0,0
7,외도동,2.56,64,22104.03,274,4517.32,81.34,0.36,223,0,0,0,0,0,0,0,0,0
7,용담1동,0.61,25,6915.93,88,3741.49,40.57,0.21,246.1,0,0,0,0,0,0,0,0,0
7,용담2동,4.93,58,14547.24,195.16,11185.45,208.62,1.39,246.1,0,0,0,0,0,0,0,0,0
7,이도1동,0.69,25,7526.81,130.31,8030.77,115.65,0.35,246.1,0,0,0,0,0,0,0,0,0
7,이도2동,5.4,118,49586.79,558.55,21949.95,267.25,2.16,246.1,0,0,0,0,0,0,0,0,0
7,이호동,2.56,33,4514.51,152.04,3256.41,79.98,0.17,223,0,0,0,0,0,0,0,0,0
7,일도1동,0.33,10,2451,77,2377.28,81.67,0.09,246.1,0,0,0,0,0,0,0,0,0
7,일도2동,2.18,81,32588.95,275,9050.99,97.19,0.46,246.1,0,0,0,0,0,0,0,0,0
7,정방동,0.44,10,2123.98,111.39,3630.84,176.52,0.85,217.4,0,0,0,0,0,0,0,0,0
7,조천읍,150.6,133,25487.37,524.14,12059.15,270.14,4.76,171,0,0,0,0,0,0,0,0,0
7,중문동,56.44,39,11565.6,305,5245.04,220.79,5.51,164.5,0,0,0,0,0,0,0,0,0
