em_t,base_month,emd_nm,area,em_area_cd_cnt,resid_reg_pop,foreign_pop,d_visit_pop_cnt,l_visit_pop_cnt,s_visit_pop_cnt,pre_mm
43.58,1,건입동,2.53,30,9394.5,246.25,25742.09,819.21,515.95,85.3
11.55,1,구좌읍,185.93,104,15552.25,600.75,27391.16,739.62,256.4,59.8
53.27,1,남원읍,188.71,51,18941,720.75,30383.79,1325.47,785.1,69.9
251.83,1,노형동,45.21,161,54146,2079.5,80644.43,2537.05,1758.83,79.2
52.89,1,대륜동,22.24,36,14229.75,199.75,33917.93,704.69,243.59,70.8
77.07,1,대정읍,78.63,84,21398,1683.75,25422.17,2124.22,185.22,54.6
54.85,1,대천동,56.44,37,13618.75,227,22685.79,492.19,106.02,70.8
16.66,1,도두동,4.03,25,3143.5,120.25,13063.79,311.46,1134.12,79.2
110.49,1,동홍동,14.3,49,22975.25,1200.5,29593.05,651.26,212.07,75
14.49,1,봉개동,47.34,32,4870.75,87.75,14784.03,523.28,134.15,86.7
66.77,1,삼도1동,1.27,32,13968.5,145.25,24720.7,288,165.39,85.3
35.6,1,삼도2동,0.83,30,8293,257.25,21226.08,412.33,637.53,85.3
102.12,1,삼양동,9.53,73,25104.5,248.75,20170.06,230.46,60.19,86.7
43.44,1,서홍동,14.71,22,10595.5,127.25,14480.56,878.24,827.38,75
39.04,1,성산읍,91.09,58,15414,1690.75,33707.42,1134.91,735.68,63.1
23.32,1,송산동,4.8,20,4312,550.75,7249.01,879.84,50.67,65
119.64,1,아라동,70.64,115,34028.5,1116.25,48108.53,849.41,168.31,106.7
25.07,1,안덕면,105.6,67,11851.75,606.5,37458.58,1603.65,781.89,64.6
26.3,1,영천동,46.33,30,5234.25,179.5,15001.74,934.05,193.12,60.7
14.48,1,예래동,37.3,18,3997.25,240,25685.78,551.6,547.6,66.8
59.45,1,오라동,28.74,80,14881.5,229.5,47409.56,807.73,210.89,79.2
95.48,1,외도동,2.56,64,21526,296,18816.92,293.16,202.2,82.5
37.12,1,용담1동,0.61,25,7383,87.25,16443.28,218.56,76.41,79.2
46.5,1,이도1동,0.69,25,7775.5,135.5,32245.15,472.37,172.36,85.3
20,1,이호동,2.56,33,4457.25,167.25,11330.39,309.86,230,82.5
20.08,1,일도1동,0.33,10,2792.75,88.75,10756.39,338.71,83.56,85.3
162.9,1,일도2동,2.18,81,33918.75,296.25,42431.97,464.45,221.84,85.3
22.96,1,정방동,0.44,9,2312.25,112.25,17561.4,1137.92,236.99,65
21.82,1,조천읍,150.6,137,24436,588.75,43856.3,1048.05,435.95,49.8
54.99,1,중문동,56.44,41,11187.5,304.5,19938.64,1100.39,404.94,69.5
48.27,1,중앙동,0.35,5,3756.25,94.5,17692.83,316.79,80.08,65
32.89,1,천지동,1.39,11,3542.5,109,8097.55,270.15,121.2,65
21.35,1,표선면,135.16,47,12293.5,412.5,21654.9,647.3,329.26,80.1
7.27,1,한경면,79.1,71,9030.25,359.5,12260.91,647.91,95.24,61.4
27.49,1,한림읍,91.09,111,21215.5,3569.25,32758.04,2261.02,436.18,69
112.78,1,화북동,8.29,77,24845.75,387,36800.76,360.65,43.92,85.3
15.27,1,효돈동,6.6,21,5290,77.5,7103.01,133.35,31.64,60.7
39.9,2,건입동,2.53,30,9366,246,22595.08,694.99,407.06,52.8
11.67,2,구좌읍,185.93,103,15581.75,597.5,25278.03,617.67,194.07,51.5
45.64,2,남원읍,188.71,52,18941.75,720.25,23934.5,1220.07,486.62,66.7
241.05,2,노형동,45.21,160,54154.5,2090,72060.03,2529.01,1250.98,45.7
47.02,2,대륜동,22.24,36,14295.75,201.5,27980.87,622.56,191.97,55.4
74.57,2,대정읍,78.63,85,21438,1679.25,22218.85,1868.93,141.97,51.7
47.77,2,대천동,56.44,36,13641,225,19031.76,424.14,70.99,55.4
14.97,2,도두동,4.03,25,3151.75,120,11136.92,291.55,830.73,45.7
99.32,2,동홍동,14.3,49,22989.5,1191.25,25982.28,557.61,215.92,59.4
13.59,2,봉개동,47.34,32,4906.5,88,12481.47,433.38,113.24,54.1
60.73,2,삼도1동,1.27,31,13939.5,146.75,22234.28,262.98,121.01,52.8
33.82,2,삼도2동,0.83,29,8276,256,19141.51,407.59,467.23,52.8
95.17,2,삼양동,9.53,73,25172.25,248,19484.21,210.41,45.96,54.1
38.1,2,서홍동,14.71,21,10602,121.75,12328.04,677.11,472.94,59.4
38.66,2,성산읍,91.09,58,15421.5,1682.5,29255.71,979.94,561.4,76.3
19.96,2,송산동,4.8,19,4303.75,549.25,5724.81,627.82,39.64,50.5
115.22,2,아라동,70.64,114,34319.25,1088.25,44906.98,851.39,163.56,67.9
24.94,2,안덕면,105.6,67,11868.25,607.5,32352.59,1382.02,578.97,53.6
